,rank,lex,num
310,311,долго,122687
311,312,помнить,122656
312,313,господин,122586
313,314,окно,121709
314,315,среди,121594
315,316,вести,121487
316,317,живой,121304
317,318,месяц,120898
318,319,форма,120763
319,320,чувство,120241
320,321,возможность,119895
321,322,приехать,119797
322,323,например,119625
323,324,иной,119210
324,325,узнать,118834
325,326,советский,118360
326,327,разговор,117997
327,328,называть,117581
328,329,мера,117240
329,330,подобный,117149
330,331,слышать,116858
331,332,чтоб,116599
332,333,иногда,116302
333,334,продолжать,115971
334,335,быстро,115370
335,336,закон,115221
336,337,труд,114748
337,338,начинать,114731
338,339,многий,114505
339,340,заметить,114453
340,341,играть,114361
341,342,4,114245
342,343,затем,114242
343,344,красный,114197
344,345,поэтому,114091
345,346,взгляд,114007
346,347,чувствовать,113882
347,348,статья,113505
348,349,машина,113484
349,350,точно,113451
350,351,прежде,113404
351,352,вернуться,113032
352,353,следовать,112988
353,354,берег,112190
354,355,военный,112155
355,356,далеко,111864
356,357,церковь,111179
357,358,хоть,110875
358,359,вещь,110133
359,360,собственный,109953
360,361,действие,109499
361,362,ехать,109359
362,363,речь,108860
363,364,посмотреть,108798
364,365,стена,108709
365,366,условие,108560
366,367,внимание,108547
367,368,прийтись,108504
368,369,назад,108380
369,370,товарищ,108266
370,371,школа,108253
371,372,подумать,108205
372,373,давно,107605
373,374,оставить,107392
374,375,бояться,107205
375,376,следующий,107192
376,377,тело,106464
377,378,лес,106340
378,379,движение,106182
379,380,театр,105777
380,381,5,105709
381,382,огромный,105512
382,383,цель,105152
383,384,состояние,105123
384,385,чуть,105122
385,386,смысл,105107
386,387,спать,105025
387,388,пять,104181
388,389,третий,104124
389,390,довольно,103768
390,391,рабочий,102679
391,392,10,102530
392,393,слушать,102427
393,394,хотеться,102027
394,395,дух,102013
395,396,муж,101946
396,397,поставить,101506
397,398,река,101244
398,399,наука,101075
399,400,помощь,100778
400,401,развитие,100324
401,402,прямо,100258
402,403,сильный,100114
403,404,связь,99885
404,405,показать,99722
405,406,российский,99228
406,407,ответ,98911
407,408,группа,98762
408,409,действительно,98576
409,410,иван,98162
410,411,государственный,97958
411,412,выходить,97833
